OpCo,OpCo Name,Subsidiary,Subsidiary Name,Departure Airport,Departure Airport Name,Departure Country,Departure Country Name,Departure Region,Arrival Airport,Arrival Airport Name,Arrival Country,Arrival Country Name,Arrival Region,Aircraft type,Date,Cabin,Service,# Passengers,# Flights
VY,Vueling,,,BIO,BILBAO,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,220,9
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,BIO,BILBAO,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,503,6
VY,Vueling,,,BIO,BILBAO,ES,Spain,Europe/Domestic,PMI,PALMA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,188,11
VY,Vueling,,,PMI,PALMA,ES,Spain,Europe/Domestic,BIO,BILBAO,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,405,8
VY,Vueling,,,BIO,BILBAO,ES,Spain,Europe/Domestic,LIS,LISBON,PT,Portugal,Europe,A320,2019-07-02,Economy,Non-Premium,152,20
VY,Vueling,,,LIS,LISBON,PT,Portugal,Europe,BIO,BILBAO,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,646,10
VY,Vueling,,,BIO,BILBAO,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,540,12
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,BIO,BILBAO,ES,Spain,Europe/Domestic,A320,2019-07-02,Economy,Non-Premium,898,4
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,SVQ,SEVILLE,ES,Spain,Europe/Domestic,,2019-07-02,Economy,Non-Premium,368,2
VY,Vueling,,,SVQ,SEVILLE,ES,Spain,Europe/Domestic,BCN,BARCELONA,ES,Spain,Europe/Domestic,,2019-07-02,Economy,Non-Premium,134,6
VY,Vueling,,,BCN,BARCELONA,ES,Spain,Europe/Domestic,FCO,ROME-FIUMICINO,IT,Italy,Europe,,2019-07-02,Economy,Non-Premium,821,5
